E_1,E_2,E_3,E_4,MEDFREQ_1,MEDFREQ_2,MEDFREQ_3,MEDFREQ_4,MEANFREQ_1,MEANFREQ_2,MEANFREQ_3,MEANFREQ_4,MODALFREQ_1,MODALFREQ_2,MODALFREQ_3,MODALFREQ_4
4416618.90320225,2169795.18904489,170537.615055101,12749.6542785729,5.37903986933874,15.3221928128001,23.8796254678529,33.0496462378762,5.62144528838982,15.6192762769659,23.3292593185339,32.5223102650105,2.05051181102362,7.51854330708661,12.3030708661417,17.0875984251969
1816230.0478689,1163597.67459766,23141.5351666788,1754.97410381398,3.37856326479853,15.8470434295085,21.7059488385436,32.4153043438568,4.29707399644706,17.7022724182856,21.9179193073905,33.3291798473435,1.36700787401575,6.15153543307087,10.936062992126,16.404094488189
3441061.85329615,987952.782508429,36155.8188330939,2141.86736220211,4.36737343037366,16.8055161840743,22.8038483940262,33.6137933883326,4.31670329956218,18.3875029260543,23.2267412389171,33.5999109857263,2.7340157480315,6.83503937007874,11.6195669291339,17.0875984251969
2354342.92606386,6491789.24716387,251034.706030876,36887.2649393483,4.23795206334377,14.827438772962,23.6505408706877,33.5642721974677,5.21651278788399,14.8957003943689,23.2202902490001,33.5801669827006,2.05051181102362,7.51854330708661,12.3030708661417,17.0875984251969
1655444.99765677,4470066.25203513,365866.51808139,43531.8916368019,7.24779518533993,13.5505855030772,24.1370471080367,33.5575315165584,7.28871888592198,13.8004817180408,24.0768115440351,33.9380847308375,4.78452755905512,6.83503937007874,12.3030708661417,16.404094488189
3252304.4333968,4172477.52044253,325233.486356458,16985.9037057373,6.27128328042441,14.4282692335889,25.8033973192296,34.3460659266465,6.40516241105504,14.4038197163809,27.9767015189023,35.8113766017318,3.41751968503937,7.51854330708661,12.3030708661417,17.0875984251969
3365977.51030961,150738.974687557,1436.49107477638,253.969079982775,1.33864408682787,12.858658364449,25.7416689768409,31.4193776177938,1.53432746850337,12.9751041570144,25.6725902537803,31.4601231965799,0,6.83503937007874,12.9865748031496,15.7205905511811
2095599.59498646,4024490.29144741,145981.110611449,6830.24331933982,5.41546628673765,15.6858780134467,24.7151010051196,33.5377671174457,5.12151292078635,16.2132268476315,25.8423576019168,34.0357019300178,3.41751968503937,8.20204724409449,12.3030708661417,16.404094488189
3462850.35948745,3415861.58655363,107557.686360023,1187.81947925115,5.71044909185136,15.4436763885612,23.186326726616,32.2502904241996,5.8342813643082,15.5714475768588,22.3204315702349,32.8204193067121,2.7340157480315,7.51854330708661,12.3030708661417,15.7205905511811
2076297.06192856,2887290.72977977,216101.020623504,44970.4794200767,6.76289077423579,14.6420106963109,24.2168395696885,33.5413126791279,6.85306467364597,16.1106645947205,24.5062924730094,33.2554265191612,3.41751968503937,7.51854330708661,12.3030708661417,17.0875984251969
